Name	ElectionDistrict
MN Senate District 39	Minnesota;MN Senate District 39
MN Senate District 40	Minnesota;MN Senate District 40
MN Senate District 41	Minnesota;MN Senate District 41
MN Senate District 42	Minnesota;MN Senate District 42
MN Senate District 43	Minnesota;MN Senate District 43
MN Senate District 44	Minnesota;MN Senate District 44
MN Senate District 45	Minnesota;MN Senate District 45
MN Senate District 46	Minnesota;MN Senate District 46
MN Senate District 47	Minnesota;MN Senate District 47
MN Senate District 48	Minnesota;MN Senate District 48
MN Senate District 49	Minnesota;MN Senate District 49
MN Senate District 50	Minnesota;MN Senate District 50
MN Senate District 51	Minnesota;MN Senate District 51
MN Senate District 52	Minnesota;MN Senate District 52
MN Senate District 53	Minnesota;MN Senate District 53
MN Senate District 54	Minnesota;MN Senate District 54
MN Senate District 55	Minnesota;MN Senate District 55
MN Senate District 56	Minnesota;MN Senate District 56
MN Senate District 57	Minnesota;MN Senate District 57
MN Senate District 58	Minnesota;MN Senate District 58
MN Senate District 59	Minnesota;MN Senate District 59
MN Senate District 60	Minnesota;MN Senate District 60
MN Senate District 61	Minnesota;MN Senate District 61
MN Senate District 62	Minnesota;MN Senate District 62
MN Senate District 63	Minnesota;MN Senate District 63
MN Senate District 64	Minnesota;MN Senate District 64
MN Senate District 65	Minnesota;MN Senate District 65
MN Senate District 66	Minnesota;MN Senate District 66
MN Senate District 67	Minnesota;MN Senate District 67
US House MN District 1	Minnesota;US House MN District 1
US House MN District 2	Minnesota;US House MN District 2
US House MN District 3	Minnesota;US House MN District 3
US House MN District 4	Minnesota;US House MN District 4
US House MN District 5	Minnesota;US House MN District 5
US House MN District 6	Minnesota;US House MN District 6
US House MN District 7	Minnesota;US House MN District 7
US House MN District 8	Minnesota;US House MN District 8
US President (MN)	Minnesota
MN Governor	Minnesota
US Senate MN	Minnesota
MN Attorney General	Minnesota
MN Lieutenant Governor	Minnesota
MN Treasurer	Minnesota
MN Secretary of State	Minnesota
MN State Auditor	Minnesota
MN House District 2A	Minnesota;MN House District 2A
MN House District 2B	Minnesota;MN House District 2B
MN House District 4A	Minnesota;MN House District 4A
MN House District 4B	Minnesota;MN House District 4B
MN House District 6A	Minnesota;MN House District 6A
MN House District 6B	Minnesota;MN House District 6B
MN House District 8A	Minnesota;MN House District 8A
MN House District 8B	Minnesota;MN House District 8B
MN House District 10A	Minnesota;MN House District 10A
MN House District 10B	Minnesota;MN House District 10B
MN House District 12A	Minnesota;MN House District 12A
MN House District 12B	Minnesota;MN House District 12B
MN House District 14A	Minnesota;MN House District 14A
MN House District 14B	Minnesota;MN House District 14B
MN House District 16A	Minnesota;MN House District 16A
MN House District 16B	Minnesota;MN House District 16B
MN House District 18A	Minnesota;MN House District 18A
MN House District 18B	Minnesota;MN House District 18B
MN House District 20A	Minnesota;MN House District 20A
MN House District 20B	Minnesota;MN House District 20B
MN House District 22A	Minnesota;MN House District 22A
MN House District 22B	Minnesota;MN House District 22B
MN House District 24A	Minnesota;MN House District 24A
MN House District 24B	Minnesota;MN House District 24B
MN House District 26A	Minnesota;MN House District 26A
MN House District 26B	Minnesota;MN House District 26B
MN House District 28A	Minnesota;MN House District 28A
MN House District 28B	Minnesota;MN House District 28B
MN House District 30A	Minnesota;MN House District 30A
MN House District 30B	Minnesota;MN House District 30B
MN House District 32A	Minnesota;MN House District 32A
MN House District 32B	Minnesota;MN House District 32B
MN House District 34A	Minnesota;MN House District 34A
MN House District 34B	Minnesota;MN House District 34B
MN House District 36A	Minnesota;MN House District 36A
MN House District 36B	Minnesota;MN House District 36B
MN House District 38A	Minnesota;MN House District 38A
MN House District 38B	Minnesota;MN House District 38B
MN House District 40A	Minnesota;MN House District 40A
MN House District 40B	Minnesota;MN House District 40B
MN House District 42A	Minnesota;MN House District 42A
MN House District 42B	Minnesota;MN House District 42B
MN House District 44A	Minnesota;MN House District 44A
MN House District 44B	Minnesota;MN House District 44B
MN House District 46A	Minnesota;MN House District 46A
MN House District 46B	Minnesota;MN House District 46B
MN House District 48A	Minnesota;MN House District 48A
MN House District 48B	Minnesota;MN House District 48B
MN House District 50A	Minnesota;MN House District 50A
MN House District 50B	Minnesota;MN House District 50B
MN House District 52A	Minnesota;MN House District 52A
MN House District 52B	Minnesota;MN House District 52B
MN House District 54A	Minnesota;MN House District 54A
MN House District 54B	Minnesota;MN House District 54B
MN House District 56A	Minnesota;MN House District 56A
MN House District 56B	Minnesota;MN House District 56B
MN House District 58A	Minnesota;MN House District 58A
MN House District 58B	Minnesota;MN House District 58B
MN House District 60A	Minnesota;MN House District 60A
MN House District 60B	Minnesota;MN House District 60B
MN House District 62A	Minnesota;MN House District 62A
MN House District 62B	Minnesota;MN House District 62B
MN House District 64A	Minnesota;MN House District 64A
MN House District 64B	Minnesota;MN House District 64B
MN House District 66A	Minnesota;MN House District 66A
MN House District 66B	Minnesota;MN House District 66B
MN House District 68A	Minnesota;MN House District 68A
MN House District 68B	Minnesota;MN House District 68B
MN House District 70A	Minnesota;MN House District 70A
MN House District 70B	Minnesota;MN House District 70B
MN House District 72A	Minnesota;MN House District 72A
MN House District 72B	Minnesota;MN House District 72B
MN House District 74A	Minnesota;MN House District 74A
MN House District 74B	Minnesota;MN House District 74B
MN House District 76A	Minnesota;MN House District 76A
MN House District 76B	Minnesota;MN House District 76B
MN House District 78A	Minnesota;MN House District 78A
MN House District 78B	Minnesota;MN House District 78B
MN House District 80A	Minnesota;MN House District 80A
MN House District 80B	Minnesota;MN House District 80B
MN House District 82A	Minnesota;MN House District 82A
MN House District 82B	Minnesota;MN House District 82B
MN House District 84A	Minnesota;MN House District 84A
MN House District 84B	Minnesota;MN House District 84B
MN House District 86A	Minnesota;MN House District 86A
MN House District 86B	Minnesota;MN House District 86B
MN House District 88A	Minnesota;MN House District 88A
MN House District 88B	Minnesota;MN House District 88B
MN House District 90A	Minnesota;MN House District 90A
MN House District 90B	Minnesota;MN House District 90B
MN House District 92A	Minnesota;MN House District 92A
MN House District 92B	Minnesota;MN House District 92B
MN House District 94A	Minnesota;MN House District 94A
MN House District 94B	Minnesota;MN House District 94B
MN House District 96A	Minnesota;MN House District 96A
MN House District 96B	Minnesota;MN House District 96B
MN House District 98A	Minnesota;MN House District 98A
MN House District 98B	Minnesota;MN House District 98B
MN House District 100A	Minnesota;MN House District 100A
MN House District 100B	Minnesota;MN House District 100B
MN House District 102A	Minnesota;MN House District 102A
MN House District 102B	Minnesota;MN House District 102B
MN House District 104A	Minnesota;MN House District 104A
MN House District 104B	Minnesota;MN House District 104B
MN House District 106A	Minnesota;MN House District 106A
MN House District 106B	Minnesota;MN House District 106B
MN House District 108A	Minnesota;MN House District 108A
MN House District 108B	Minnesota;MN House District 108B
MN House District 110A	Minnesota;MN House District 110A
MN House District 110B	Minnesota;MN House District 110B
MN House District 112A	Minnesota;MN House District 112A
MN House District 112B	Minnesota;MN House District 112B
MN House District 114A	Minnesota;MN House District 114A
MN House District 114B	Minnesota;MN House District 114B
MN House District 116A	Minnesota;MN House District 116A
MN House District 116B	Minnesota;MN House District 116B
MN House District 118A	Minnesota;MN House District 118A
MN House District 118B	Minnesota;MN House District 118B
MN House District 120A	Minnesota;MN House District 120A
MN House District 120B	Minnesota;MN House District 120B
MN House District 122A	Minnesota;MN House District 122A
MN House District 122B	Minnesota;MN House District 122B
MN House District 124A	Minnesota;MN House District 124A
MN House District 124B	Minnesota;MN House District 124B
MN House District 126A	Minnesota;MN House District 126A
MN House District 126B	Minnesota;MN House District 126B
MN House District 128A	Minnesota;MN House District 128A
MN House District 128B	Minnesota;MN House District 128B
MN House District 130A	Minnesota;MN House District 130A
MN House District 130B	Minnesota;MN House District 130B
MN House District 132A	Minnesota;MN House District 132A
MN House District 132B	Minnesota;MN House District 132B
MN House District 134A	Minnesota;MN House District 134A
MN House District 134B	Minnesota;MN House District 134B
MN Associate Justice - Supreme Court 1	Minnesota
MN Associate Justice - Supreme Court 2	Minnesota
MN Associate Justice - Supreme Court 5	Minnesota
MN Chief Justice - Supreme Court	Minnesota
MN Judge - Court of Appeals 2	Minnesota
MN Judge - Court of Appeals 4	Minnesota
