Name	NumberElected	Office	PrimaryParty
VA House District 51 (Democratic Party Primary)	1	VA House District 51	Democratic Party
VA House District 52 (Democratic Party Primary)	1	VA House District 52	Democratic Party
VA House District 53 (Democratic Party Primary)	1	VA House District 53	Democratic Party
VA House District 54 (Democratic Party Primary)	1	VA House District 54	Democratic Party
VA House District 55 (Democratic Party Primary)	1	VA House District 55	Democratic Party
VA House District 56 (Democratic Party Primary)	1	VA House District 56	Democratic Party
VA House District 57 (Democratic Party Primary)	1	VA House District 57	Democratic Party
VA House District 58 (Democratic Party Primary)	1	VA House District 58	Democratic Party
VA House District 59 (Democratic Party Primary)	1	VA House District 59	Democratic Party
VA House District 60 (Democratic Party Primary)	1	VA House District 60	Democratic Party
VA House District 61 (Democratic Party Primary)	1	VA House District 61	Democratic Party
VA House District 62 (Democratic Party Primary)	1	VA House District 62	Democratic Party
VA House District 63 (Democratic Party Primary)	1	VA House District 63	Democratic Party
VA House District 64 (Democratic Party Primary)	1	VA House District 64	Democratic Party
VA House District 65 (Democratic Party Primary)	1	VA House District 65	Democratic Party
VA House District 66 (Democratic Party Primary)	1	VA House District 66	Democratic Party
VA House District 67 (Democratic Party Primary)	1	VA House District 67	Democratic Party
VA House District 68 (Democratic Party Primary)	1	VA House District 68	Democratic Party
VA House District 69 (Democratic Party Primary)	1	VA House District 69	Democratic Party
VA House District 70 (Democratic Party Primary)	1	VA House District 70	Democratic Party
VA House District 71 (Democratic Party Primary)	1	VA House District 71	Democratic Party
VA House District 72 (Democratic Party Primary)	1	VA House District 72	Democratic Party
VA House District 73 (Democratic Party Primary)	1	VA House District 73	Democratic Party
VA House District 74 (Democratic Party Primary)	1	VA House District 74	Democratic Party
VA House District 75 (Democratic Party Primary)	1	VA House District 75	Democratic Party
VA House District 76 (Democratic Party Primary)	1	VA House District 76	Democratic Party
VA House District 77 (Democratic Party Primary)	1	VA House District 77	Democratic Party
VA House District 78 (Democratic Party Primary)	1	VA House District 78	Democratic Party
VA House District 79 (Democratic Party Primary)	1	VA House District 79	Democratic Party
VA House District 80 (Democratic Party Primary)	1	VA House District 80	Democratic Party
VA House District 81 (Democratic Party Primary)	1	VA House District 81	Democratic Party
VA House District 82 (Democratic Party Primary)	1	VA House District 82	Democratic Party
VA House District 83 (Democratic Party Primary)	1	VA House District 83	Democratic Party
VA House District 84 (Democratic Party Primary)	1	VA House District 84	Democratic Party
VA House District 85 (Democratic Party Primary)	1	VA House District 85	Democratic Party
VA House District 86 (Democratic Party Primary)	1	VA House District 86	Democratic Party
VA House District 87 (Democratic Party Primary)	1	VA House District 87	Democratic Party
VA House District 88 (Democratic Party Primary)	1	VA House District 88	Democratic Party
VA House District 89 (Democratic Party Primary)	1	VA House District 89	Democratic Party
VA House District 90 (Democratic Party Primary)	1	VA House District 90	Democratic Party
VA House District 91 (Democratic Party Primary)	1	VA House District 91	Democratic Party
VA House District 92 (Democratic Party Primary)	1	VA House District 92	Democratic Party
VA House District 93 (Democratic Party Primary)	1	VA House District 93	Democratic Party
VA House District 94 (Democratic Party Primary)	1	VA House District 94	Democratic Party
VA House District 95 (Democratic Party Primary)	1	VA House District 95	Democratic Party
VA House District 96 (Democratic Party Primary)	1	VA House District 96	Democratic Party
VA House District 97 (Democratic Party Primary)	1	VA House District 97	Democratic Party
VA House District 98 (Democratic Party Primary)	1	VA House District 98	Democratic Party
VA House District 99 (Democratic Party Primary)	1	VA House District 99	Democratic Party
VA House District 100 (Democratic Party Primary)	1	VA House District 100	Democratic Party
VA Senate District 1 (Democratic Party Primary)	1	VA Senate District 1	Democratic Party
VA Senate District 2 (Democratic Party Primary)	1	VA Senate District 2	Democratic Party
VA Senate District 3 (Democratic Party Primary)	1	VA Senate District 3	Democratic Party
VA Senate District 4 (Democratic Party Primary)	1	VA Senate District 4	Democratic Party
VA Senate District 5 (Democratic Party Primary)	1	VA Senate District 5	Democratic Party
VA Senate District 6 (Democratic Party Primary)	1	VA Senate District 6	Democratic Party
VA Senate District 7 (Democratic Party Primary)	1	VA Senate District 7	Democratic Party
VA Senate District 8 (Democratic Party Primary)	1	VA Senate District 8	Democratic Party
VA Senate District 9 (Democratic Party Primary)	1	VA Senate District 9	Democratic Party
VA Senate District 10 (Democratic Party Primary)	1	VA Senate District 10	Democratic Party
VA Senate District 11 (Democratic Party Primary)	1	VA Senate District 11	Democratic Party
VA Senate District 12 (Democratic Party Primary)	1	VA Senate District 12	Democratic Party
VA Senate District 13 (Democratic Party Primary)	1	VA Senate District 13	Democratic Party
VA Senate District 14 (Democratic Party Primary)	1	VA Senate District 14	Democratic Party
VA Senate District 15 (Democratic Party Primary)	1	VA Senate District 15	Democratic Party
VA Senate District 16 (Democratic Party Primary)	1	VA Senate District 16	Democratic Party
VA Senate District 17 (Democratic Party Primary)	1	VA Senate District 17	Democratic Party
VA Senate District 18 (Democratic Party Primary)	1	VA Senate District 18	Democratic Party
VA Senate District 19 (Democratic Party Primary)	1	VA Senate District 19	Democratic Party
VA Senate District 20 (Democratic Party Primary)	1	VA Senate District 20	Democratic Party
VA Senate District 21 (Democratic Party Primary)	1	VA Senate District 21	Democratic Party
VA Senate District 22 (Democratic Party Primary)	1	VA Senate District 22	Democratic Party
VA Senate District 23 (Democratic Party Primary)	1	VA Senate District 23	Democratic Party
VA Senate District 24 (Democratic Party Primary)	1	VA Senate District 24	Democratic Party
VA Senate District 25 (Democratic Party Primary)	1	VA Senate District 25	Democratic Party
VA Senate District 26 (Democratic Party Primary)	1	VA Senate District 26	Democratic Party
VA Senate District 27 (Democratic Party Primary)	1	VA Senate District 27	Democratic Party
VA Senate District 28 (Democratic Party Primary)	1	VA Senate District 28	Democratic Party
VA Senate District 29 (Democratic Party Primary)	1	VA Senate District 29	Democratic Party
VA Senate District 30 (Democratic Party Primary)	1	VA Senate District 30	Democratic Party
VA Senate District 31 (Democratic Party Primary)	1	VA Senate District 31	Democratic Party
VA Senate District 32 (Democratic Party Primary)	1	VA Senate District 32	Democratic Party
VA Senate District 33 (Democratic Party Primary)	1	VA Senate District 33	Democratic Party
VA Senate District 34 (Democratic Party Primary)	1	VA Senate District 34	Democratic Party
VA Senate District 35 (Democratic Party Primary)	1	VA Senate District 35	Democratic Party
VA Senate District 36 (Democratic Party Primary)	1	VA Senate District 36	Democratic Party
VA Senate District 37 (Democratic Party Primary)	1	VA Senate District 37	Democratic Party
VA Senate District 38 (Democratic Party Primary)	1	VA Senate District 38	Democratic Party
VA Senate District 39 (Democratic Party Primary)	1	VA Senate District 39	Democratic Party
VA Senate District 40 (Democratic Party Primary)	1	VA Senate District 40	Democratic Party
US House VA District 1 (Democratic Party Primary)	1	US House VA District 1	Democratic Party
US House VA District 2 (Democratic Party Primary)	1	US House VA District 2	Democratic Party
US House VA District 3 (Democratic Party Primary)	1	US House VA District 3	Democratic Party
US House VA District 4 (Democratic Party Primary)	1	US House VA District 4	Democratic Party
US House VA District 5 (Democratic Party Primary)	1	US House VA District 5	Democratic Party
US House VA District 6 (Democratic Party Primary)	1	US House VA District 6	Democratic Party
US House VA District 7 (Democratic Party Primary)	1	US House VA District 7	Democratic Party
US House VA District 8 (Democratic Party Primary)	1	US House VA District 8	Democratic Party
US House VA District 9 (Democratic Party Primary)	1	US House VA District 9	Democratic Party
US House VA District 10 (Democratic Party Primary)	1	US House VA District 10	Democratic Party
US House VA District 11 (Democratic Party Primary)	1	US House VA District 11	Democratic Party
VA Governor (Democratic Party Primary)	1	VA Governor	Democratic Party
US Senate VA (Democratic Party Primary)	1	US Senate VA	Democratic Party
VA Attorney General (Democratic Party Primary)	1	VA Attorney General	Democratic Party
VA Lieutenant Governor (Democratic Party Primary)	1	VA Lieutenant Governor	Democratic Party
VA Treasurer (Democratic Party Primary)	1	VA Treasurer	Democratic Party
VA House District 1 (Republican Party Primary)	1	VA House District 1	Republican Party
VA House District 2 (Republican Party Primary)	1	VA House District 2	Republican Party
VA House District 3 (Republican Party Primary)	1	VA House District 3	Republican Party
VA House District 4 (Republican Party Primary)	1	VA House District 4	Republican Party
VA House District 5 (Republican Party Primary)	1	VA House District 5	Republican Party
VA House District 6 (Republican Party Primary)	1	VA House District 6	Republican Party
VA House District 7 (Republican Party Primary)	1	VA House District 7	Republican Party
VA House District 8 (Republican Party Primary)	1	VA House District 8	Republican Party
VA House District 9 (Republican Party Primary)	1	VA House District 9	Republican Party
VA House District 10 (Republican Party Primary)	1	VA House District 10	Republican Party
VA House District 11 (Republican Party Primary)	1	VA House District 11	Republican Party
VA House District 12 (Republican Party Primary)	1	VA House District 12	Republican Party
VA House District 13 (Republican Party Primary)	1	VA House District 13	Republican Party
VA House District 14 (Republican Party Primary)	1	VA House District 14	Republican Party
VA House District 15 (Republican Party Primary)	1	VA House District 15	Republican Party
VA House District 16 (Republican Party Primary)	1	VA House District 16	Republican Party
VA House District 17 (Republican Party Primary)	1	VA House District 17	Republican Party
VA House District 18 (Republican Party Primary)	1	VA House District 18	Republican Party
VA House District 19 (Republican Party Primary)	1	VA House District 19	Republican Party
VA House District 20 (Republican Party Primary)	1	VA House District 20	Republican Party
VA House District 21 (Republican Party Primary)	1	VA House District 21	Republican Party
