BallotName	Party
Brenda Krause	Colorado Democratic Party
Dave Williams	Colorado Republican Party
Andrew Smith	Colorado Democratic Party
Larry G. Liston	Colorado Republican Party
John Hjersman	Colorado Libertarian Party
Pete Lee	Colorado Democratic Party
Pat McIntire	Colorado Republican Party
Kit Roupe	Colorado Republican Party
Thomas "Tony" Exum Sr.	Colorado Democratic Party
Palmer L. Boyette	Colorado No party
Bri Buentello	Colorado Democratic Party
Don Bendell	Colorado Republican Party
Bob Rankin	Colorado Republican Party
Colin Wilhelm	Colorado Democratic Party
James Berkley Boyd	Colorado No party
Anne K. Norrdin	Colorado No party
Christopher G. Seldin	Colorado No party
Paul H. Metzger	Colorado No party
Jonathan Bruce Pototsky	Colorado No party
Christie A. Bachmeyer	Colorado No party
Diego G. Hunt	Colorado No party
Laura A. Tighe	Colorado No party
David C. Taylor	Colorado No party
Michael A. O'Hara III	Colorado No party
Nicholas Catanzarite	Colorado No party
Cindy Wilson	Colorado No party
Susan Lori Fisch	Colorado No party
Mark Marrow Randall	Colorado No party
Ryan James Stuart	Colorado No party
Thomas Vance	Colorado No party
Jean Woodford	Colorado No party
Todd Kastetter	Colorado Democratic Party
Colin Larson	Colorado Republican Party
Brad K. Evans	Colorado No party
Margaret (Peggy) A. Catlin	Colorado No party
Jennifer Hope	Colorado No party
Christine Jensen	Colorado Republican Party
Jessie Danielson	Colorado Democratic Party
Charles Messick	Colorado Libertarian Party
Brittany Pettersen	Colorado Democratic Party
Tony Sanchez	Colorado Republican Party
Steve Szutenbach	Colorado Republican Party
Lisa A. Cutter	Colorado Democratic Party
Arthur Erwin	Colorado Republican Party
Monica Duran	Colorado Democratic Party
Brianna Titone	Colorado Democratic Party
Vicki Pyne	Colorado Republican Party
Grady Nouis	Colorado Republican Party
Tracy Kraft-Tharp	Colorado Democratic Party
Hans V. Romer	Colorado Libertarian Party
Chris Kennedy	Colorado Democratic Party
Joan Poston	Colorado Republican Party
Kristina Joy Alley	Colorado Republican Party
Kerry Tipper	Colorado Democratic Party
Ross Klopf	Colorado Libertarian Party
Gary W. Davis	Colorado No party
Charles M. Hobbs	Colorado No party
Carl S. McGuire III	Colorado No party
Michael Keith Singer	Colorado No party
Michael K. Grinnan	Colorado No party
Donna Walter	Colorado Republican Party
Joann Ginal	Colorado Democratic Party
Thomas L. Lynch	Colorado No party
Peter E. Schoon Jr.	Colorado No party
Jeni Arndt	Colorado Democratic Party
Rebecca Cranston	Colorado Democratic Party
Rob Woodward	Colorado Republican Party
Perry L. Buck	Colorado Republican Party
Conor Duffy	Colorado Democratic Party
Joan Shaffer	Colorado Democratic Party
Hugh McKean	Colorado Republican Party
Truston Lee Fisher	Colorado No party
Ray Scott	Colorado Republican Party
Lance Phillip Timbreza	Colorado No party
Bruce R. Raaum	Colorado No party
Tanya Travis	Colorado Democratic Party
Janice Rich	Colorado Republican Party
Sandra H. Gardner	Colorado No party
JenniLynn Lawrence	Colorado No party
Ben A. Morris	Colorado No party
Douglas R. Manley	Colorado No party
Brian L. Green	Colorado No party
Erin Fernandez-Ely	Colorado No party
Curtis Lane Porter	Colorado No party
Leroy M. Garcia	Colorado Democratic Party
John Pickerill	Colorado Libertarian Party
Daneya Esgar	Colorado Democratic Party
Jonathan Ambler	Colorado Republican Party
Deborah R. Eyler	Colorado No party
Kim Karn	Colorado No party
Steven B. Fieldman	Colorado No party
David Lee Lobato	Colorado No party
Laurie Anne Noble	Colorado No party
Barbara A. Zollars	Colorado No party
James H. Garrecht	Colorado No party
Anna Ulrich	Colorado No party
Susanne J. Ross	Colorado No party
Theresa L. Kilgore	Colorado No party
Kelly S. Hansen	Colorado No party
Stephen Alan Humphrey	Colorado Republican Party
Gbenga Ajiboye	Colorado Democratic Party
James F. Hartmann	Colorado No party
Todd L. Taylor	Colorado No party
John Joseph Briggs	Colorado No party
Michele Lynn Meyer	Colorado No party
Dana Nichols	Colorado No party
Charles S. Unfug	Colorado No party
Lori A. Saine	Colorado Republican Party
Brandon D. Bobian	Colorado Democratic Party
Joe Johnson	Colorado Libertarian Party
John Cooke	Colorado Republican Party
Phil Kelley	Colorado Democratic Party
Eric E. Joss	Colorado Libertarian Party
Rochelle Galindo	Colorado Democratic Party
Michael A. Thuener	Colorado Republican Party
