Contest	Selection	CountItemType	Count
North Carolina;General Assembly House of Representatives District 72	Reginald Reid	early	2210
North Carolina;General Assembly House of Representatives District 72	Reginald Reid	election-day	2632
North Carolina;General Assembly House of Representatives District 72	Reginald Reid	provisional	19
North Carolina;General Assembly House of Representatives District 72	Reginald Reid	total	5093
North Carolina;General Assembly House of Representatives District 73	Lee Zachary	absentee-mail	443
North Carolina;General Assembly House of Representatives District 73	Lee Zachary	early	8114
North Carolina;General Assembly House of Representatives District 73	Lee Zachary	election-day	11162
North Carolina;General Assembly House of Representatives District 73	Lee Zachary	provisional	44
North Carolina;General Assembly House of Representatives District 73	Lee Zachary	total	19763
North Carolina;General Assembly House of Representatives District 73	William Stinson	absentee-mail	441
North Carolina;General Assembly House of Representatives District 73	William Stinson	early	6332
North Carolina;General Assembly House of Representatives District 73	William Stinson	election-day	4274
North Carolina;General Assembly House of Representatives District 73	William Stinson	provisional	23
North Carolina;General Assembly House of Representatives District 73	William Stinson	total	11070
North Carolina;General Assembly House of Representatives District 74	Debra Conrad	absentee-mail	554
North Carolina;General Assembly House of Representatives District 74	Debra Conrad	early	9091
North Carolina;General Assembly House of Representatives District 74	Debra Conrad	election-day	9732
North Carolina;General Assembly House of Representatives District 74	Debra Conrad	provisional	46
North Carolina;General Assembly House of Representatives District 74	Debra Conrad	total	19423
North Carolina;General Assembly House of Representatives District 74	Terri Elizabeth LeGrand	absentee-mail	561
North Carolina;General Assembly House of Representatives District 74	Terri Elizabeth LeGrand	early	9933
North Carolina;General Assembly House of Representatives District 74	Terri Elizabeth LeGrand	election-day	5684
North Carolina;General Assembly House of Representatives District 74	Terri Elizabeth LeGrand	provisional	34
North Carolina;General Assembly House of Representatives District 74	Terri Elizabeth LeGrand	total	16212
North Carolina;General Assembly House of Representatives District 75	Dan Besse	absentee-mail	544
North Carolina;General Assembly House of Representatives District 75	Dan Besse	early	9532
North Carolina;General Assembly House of Representatives District 75	Dan Besse	election-day	5460
North Carolina;General Assembly House of Representatives District 75	Dan Besse	provisional	63
North Carolina;General Assembly House of Representatives District 75	Dan Besse	total	15599
North Carolina;General Assembly House of Representatives District 75	Donny C. Lambeth	absentee-mail	549
North Carolina;General Assembly House of Representatives District 75	Donny C. Lambeth	early	8660
North Carolina;General Assembly House of Representatives District 75	Donny C. Lambeth	election-day	8392
North Carolina;General Assembly House of Representatives District 75	Donny C. Lambeth	provisional	50
North Carolina;General Assembly House of Representatives District 75	Donny C. Lambeth	total	17651
North Carolina;General Assembly House of Representatives District 76	Harry Warren	absentee-mail	368
North Carolina;General Assembly House of Representatives District 76	Harry Warren	early	7910
North Carolina;General Assembly House of Representatives District 76	Harry Warren	election-day	8403
North Carolina;General Assembly House of Representatives District 76	Harry Warren	provisional	37
North Carolina;General Assembly House of Representatives District 76	Harry Warren	total	16718
North Carolina;General Assembly House of Representatives District 76	Joe Fowler	absentee-mail	358
North Carolina;General Assembly House of Representatives District 76	Joe Fowler	early	5366
North Carolina;General Assembly House of Representatives District 76	Joe Fowler	election-day	4824
North Carolina;General Assembly House of Representatives District 76	Joe Fowler	provisional	30
North Carolina;General Assembly House of Representatives District 76	Joe Fowler	total	10578
North Carolina;General Assembly House of Representatives District 77	Bonnie Dawn Clark	absentee-mail	377
North Carolina;General Assembly House of Representatives District 77	Bonnie Dawn Clark	early	4426
North Carolina;General Assembly House of Representatives District 77	Bonnie Dawn Clark	election-day	3753
North Carolina;General Assembly House of Representatives District 77	Bonnie Dawn Clark	provisional	28
North Carolina;General Assembly House of Representatives District 77	Bonnie Dawn Clark	total	8584
North Carolina;General Assembly House of Representatives District 77	Julia Craven Howard	absentee-mail	394
North Carolina;General Assembly House of Representatives District 77	Julia Craven Howard	early	11003
North Carolina;General Assembly House of Representatives District 77	Julia Craven Howard	election-day	12170
North Carolina;General Assembly House of Representatives District 77	Julia Craven Howard	provisional	87
North Carolina;General Assembly House of Representatives District 77	Julia Craven Howard	total	23654
North Carolina;General Assembly House of Representatives District 78	Allen Ray McNeill	absentee-mail	253
North Carolina;General Assembly House of Representatives District 78	Allen Ray McNeill	early	10291
North Carolina;General Assembly House of Representatives District 78	Allen Ray McNeill	election-day	10255
North Carolina;General Assembly House of Representatives District 78	Allen Ray McNeill	provisional	6
North Carolina;General Assembly House of Representatives District 78	Allen Ray McNeill	total	20805
North Carolina;General Assembly House of Representatives District 78	Jim Meredith	absentee-mail	113
North Carolina;General Assembly House of Representatives District 78	Jim Meredith	early	2896
North Carolina;General Assembly House of Representatives District 78	Jim Meredith	election-day	2577
North Carolina;General Assembly House of Representatives District 78	Jim Meredith	provisional	7
North Carolina;General Assembly House of Representatives District 78	Jim Meredith	total	5593
North Carolina;General Assembly House of Representatives District 79	Jerry E. Langley	absentee-mail	246
North Carolina;General Assembly House of Representatives District 79	Jerry E. Langley	early	6550
North Carolina;General Assembly House of Representatives District 79	Jerry E. Langley	election-day	4414
North Carolina;General Assembly House of Representatives District 79	Jerry E. Langley	provisional	10
North Carolina;General Assembly House of Representatives District 79	Jerry E. Langley	total	11220
North Carolina;General Assembly House of Representatives District 79	Keith Kidwell	absentee-mail	192
North Carolina;General Assembly House of Representatives District 79	Keith Kidwell	early	8802
North Carolina;General Assembly House of Representatives District 79	Keith Kidwell	election-day	8232
North Carolina;General Assembly House of Representatives District 79	Keith Kidwell	provisional	21
North Carolina;General Assembly House of Representatives District 79	Keith Kidwell	total	17247
North Carolina;General Assembly House of Representatives District 8	Brenda Letchworth Smith	absentee-mail	85
North Carolina;General Assembly House of Representatives District 8	Brenda Letchworth Smith	early	3798
North Carolina;General Assembly House of Representatives District 8	Brenda Letchworth Smith	election-day	4533
North Carolina;General Assembly House of Representatives District 8	Brenda Letchworth Smith	provisional	99
North Carolina;General Assembly House of Representatives District 8	Brenda Letchworth Smith	total	8515
North Carolina;General Assembly House of Representatives District 8	Kandie D. Smith	absentee-mail	298
North Carolina;General Assembly House of Representatives District 8	Kandie D. Smith	early	8463
North Carolina;General Assembly House of Representatives District 8	Kandie D. Smith	election-day	6507
North Carolina;General Assembly House of Representatives District 8	Kandie D. Smith	provisional	302
North Carolina;General Assembly House of Representatives District 8	Kandie D. Smith	total	15570
North Carolina;General Assembly House of Representatives District 80	Steve Jarvis	absentee-mail	406
North Carolina;General Assembly House of Representatives District 80	Steve Jarvis	early	10664
North Carolina;General Assembly House of Representatives District 80	Steve Jarvis	election-day	10197
North Carolina;General Assembly House of Representatives District 80	Steve Jarvis	provisional	16
North Carolina;General Assembly House of Representatives District 80	Steve Jarvis	total	21283
North Carolina;General Assembly House of Representatives District 80	Wendy B. Sellars	absentee-mail	306
North Carolina;General Assembly House of Representatives District 80	Wendy B. Sellars	early	3405
North Carolina;General Assembly House of Representatives District 80	Wendy B. Sellars	election-day	3345
North Carolina;General Assembly House of Representatives District 80	Wendy B. Sellars	provisional	7
North Carolina;General Assembly House of Representatives District 80	Wendy B. Sellars	total	7063
North Carolina;General Assembly House of Representatives District 81	Larry W. Potts	absentee-mail	364
North Carolina;General Assembly House of Representatives District 81	Larry W. Potts	early	10344
North Carolina;General Assembly House of Representatives District 81	Larry W. Potts	election-day	9545
North Carolina;General Assembly House of Representatives District 81	Larry W. Potts	provisional	23
North Carolina;General Assembly House of Representatives District 81	Larry W. Potts	total	20276
North Carolina;General Assembly House of Representatives District 81	Lewie Phillips	absentee-mail	337
North Carolina;General Assembly House of Representatives District 81	Lewie Phillips	early	3999
North Carolina;General Assembly House of Representatives District 81	Lewie Phillips	election-day	3596
North Carolina;General Assembly House of Representatives District 81	Lewie Phillips	provisional	14
North Carolina;General Assembly House of Representatives District 81	Lewie Phillips	total	7946
North Carolina;General Assembly House of Representatives District 82	Aimy Steele	absentee-mail	737
North Carolina;General Assembly House of Representatives District 82	Aimy Steele	early	8920
North Carolina;General Assembly House of Representatives District 82	Aimy Steele	election-day	7187
North Carolina;General Assembly House of Representatives District 82	Aimy Steele	provisional	147
North Carolina;General Assembly House of Representatives District 82	Aimy Steele	total	16991
North Carolina;General Assembly House of Representatives District 82	Linda P. Johnson	absentee-mail	496
North Carolina;General Assembly House of Representatives District 82	Linda P. Johnson	early	8903
North Carolina;General Assembly House of Representatives District 82	Linda P. Johnson	election-day	9453
North Carolina;General Assembly House of Representatives District 82	Linda P. Johnson	provisional	117
North Carolina;General Assembly House of Representatives District 82	Linda P. Johnson	total	18969
North Carolina;General Assembly House of Representatives District 83	Gail Young	absentee-mail	489
North Carolina;General Assembly House of Representatives District 83	Gail Young	early	6182
North Carolina;General Assembly House of Representatives District 83	Gail Young	election-day	6419
North Carolina;General Assembly House of Representatives District 83	Gail Young	provisional	150
North Carolina;General Assembly House of Representatives District 83	Gail Young	total	13240
North Carolina;General Assembly House of Representatives District 83	Larry G. Pittman	absentee-mail	361
North Carolina;General Assembly House of Representatives District 83	Larry G. Pittman	early	6405
North Carolina;General Assembly House of Representatives District 83	Larry G. Pittman	election-day	7937
North Carolina;General Assembly House of Representatives District 83	Larry G. Pittman	provisional	95
North Carolina;General Assembly House of Representatives District 83	Larry G. Pittman	total	14798
North Carolina;General Assembly House of Representatives District 84	Allen R. Edwards	absentee-mail	360
North Carolina;General Assembly House of Representatives District 84	Allen R. Edwards	early	4954
North Carolina;General Assembly House of Representatives District 84	Allen R. Edwards	election-day	3912
North Carolina;General Assembly House of Representatives District 84	Allen R. Edwards	provisional	20
North Carolina;General Assembly House of Representatives District 84	Allen R. Edwards	total	9246
North Carolina;General Assembly House of Representatives District 84	Rena W. Turner	absentee-mail	494
North Carolina;General Assembly House of Representatives District 84	Rena W. Turner	early	8656
North Carolina;General Assembly House of Representatives District 84	Rena W. Turner	election-day	11305
North Carolina;General Assembly House of Representatives District 84	Rena W. Turner	provisional	28
North Carolina;General Assembly House of Representatives District 84	Rena W. Turner	total	20483
North Carolina;General Assembly House of Representatives District 85	Howard Larsen	absentee-mail	167
North Carolina;General Assembly House of Representatives District 85	Howard Larsen	early	3837
North Carolina;General Assembly House of Representatives District 85	Howard Larsen	election-day	2772
North Carolina;General Assembly House of Representatives District 85	Howard Larsen	provisional	46
North Carolina;General Assembly House of Representatives District 85	Howard Larsen	total	6822
North Carolina;General Assembly House of Representatives District 85	Josh Dobson	absentee-mail	320
North Carolina;General Assembly House of Representatives District 85	Josh Dobson	early	9152
North Carolina;General Assembly House of Representatives District 85	Josh Dobson	election-day	10778
North Carolina;General Assembly House of Representatives District 85	Josh Dobson	provisional	158
North Carolina;General Assembly House of Representatives District 85	Josh Dobson	total	20408
North Carolina;General Assembly House of Representatives District 86	Hugh Blackwell	absentee-mail	210
North Carolina;General Assembly House of Representatives District 86	Hugh Blackwell	early	9486
North Carolina;General Assembly House of Representatives District 86	Hugh Blackwell	election-day	6709
North Carolina;General Assembly House of Representatives District 86	Hugh Blackwell	provisional	7
North Carolina;General Assembly House of Representatives District 86	Hugh Blackwell	total	16412
North Carolina;General Assembly House of Representatives District 86	Tim Barnsback	absentee-mail	216
North Carolina;General Assembly House of Representatives District 86	Tim Barnsback	early	5780
North Carolina;General Assembly House of Representatives District 86	Tim Barnsback	election-day	3041
North Carolina;General Assembly House of Representatives District 86	Tim Barnsback	provisional	2
North Carolina;General Assembly House of Representatives District 86	Tim Barnsback	total	9039
North Carolina;General Assembly House of Representatives District 87	Amanda Bregel	absentee-mail	139
North Carolina;General Assembly House of Representatives District 87	Amanda Bregel	early	4360
North Carolina;General Assembly House of Representatives District 87	Amanda Bregel	election-day	2581
North Carolina;General Assembly House of Representatives District 87	Amanda Bregel	provisional	9
North Carolina;General Assembly House of Representatives District 87	Amanda Bregel	total	7089
North Carolina;General Assembly House of Representatives District 87	Destin Hall	absentee-mail	216
North Carolina;General Assembly House of Representatives District 87	Destin Hall	early	11087
North Carolina;General Assembly House of Representatives District 87	Destin Hall	election-day	7679
North Carolina;General Assembly House of Representatives District 87	Destin Hall	provisional	49
North Carolina;General Assembly House of Representatives District 87	Destin Hall	total	19031
North Carolina;General Assembly House of Representatives District 88	Mary G. Belk	absentee-mail	550
North Carolina;General Assembly House of Representatives District 88	Mary G. Belk	early	11632
North Carolina;General Assembly House of Representatives District 88	Mary G. Belk	election-day	10330
North Carolina;General Assembly House of Representatives District 88	Mary G. Belk	provisional	49
North Carolina;General Assembly House of Representatives District 88	Mary G. Belk	total	22561
North Carolina;General Assembly House of Representatives District 88	Ty Turner	absentee-mail	181
North Carolina;General Assembly House of Representatives District 88	Ty Turner	early	2673
North Carolina;General Assembly House of Representatives District 88	Ty Turner	election-day	4386
North Carolina;General Assembly House of Representatives District 88	Ty Turner	provisional	28
North Carolina;General Assembly House of Representatives District 88	Ty Turner	total	7268
North Carolina;General Assembly House of Representatives District 89	Greg Cranford	absentee-mail	160
North Carolina;General Assembly House of Representatives District 89	Greg Cranford	early	4288
North Carolina;General Assembly House of Representatives District 89	Greg Cranford	election-day	2800
North Carolina;General Assembly House of Representatives District 89	Greg Cranford	provisional	33
North Carolina;General Assembly House of Representatives District 89	Greg Cranford	total	7281
North Carolina;General Assembly House of Representatives District 89	Mitchell Smith Setzer	absentee-mail	222
North Carolina;General Assembly House of Representatives District 89	Mitchell Smith Setzer	early	10221
North Carolina;General Assembly House of Representatives District 89	Mitchell Smith Setzer	election-day	8436
North Carolina;General Assembly House of Representatives District 89	Mitchell Smith Setzer	provisional	80
North Carolina;General Assembly House of Representatives District 89	Mitchell Smith Setzer	total	18959
North Carolina;General Assembly House of Representatives District 9	Greg Murphy	absentee-mail	116
North Carolina;General Assembly House of Representatives District 9	Greg Murphy	early	9658
North Carolina;General Assembly House of Representatives District 9	Greg Murphy	election-day	7287
North Carolina;General Assembly House of Representatives District 9	Greg Murphy	provisional	173
North Carolina;General Assembly House of Representatives District 9	Greg Murphy	total	17234
North Carolina;General Assembly House of Representatives District 9	Kris Rixon	absentee-mail	212
North Carolina;General Assembly House of Representatives District 9	Kris Rixon	early	7078
North Carolina;General Assembly House of Representatives District 9	Kris Rixon	election-day	4006
North Carolina;General Assembly House of Representatives District 9	Kris Rixon	provisional	214
North Carolina;General Assembly House of Representatives District 9	Kris Rixon	total	11510
North Carolina;General Assembly House of Representatives District 90	Allen Poindexter	absentee-mail	27
North Carolina;General Assembly House of Representatives District 90	Allen Poindexter	early	629
North Carolina;General Assembly House of Representatives District 90	Allen Poindexter	election-day	678
North Carolina;General Assembly House of Representatives District 90	Allen Poindexter	provisional	2
North Carolina;General Assembly House of Representatives District 90	Allen Poindexter	total	1336
North Carolina;General Assembly House of Representatives District 90	John Worth Wiles	absentee-mail	216
North Carolina;General Assembly House of Representatives District 90	John Worth Wiles	early	3884
North Carolina;General Assembly House of Representatives District 90	John Worth Wiles	election-day	3056
North Carolina;General Assembly House of Representatives District 90	John Worth Wiles	provisional	14
North Carolina;General Assembly House of Representatives District 90	John Worth Wiles	total	7170
North Carolina;General Assembly House of Representatives District 90	Sarah Stevens	absentee-mail	363
North Carolina;General Assembly House of Representatives District 90	Sarah Stevens	early	8994
North Carolina;General Assembly House of Representatives District 90	Sarah Stevens	election-day	8971
North Carolina;General Assembly House of Representatives District 90	Sarah Stevens	provisional	45
North Carolina;General Assembly House of Representatives District 90	Sarah Stevens	total	18373
North Carolina;General Assembly House of Representatives District 91	Kyle Hall	absentee-mail	328
North Carolina;General Assembly House of Representatives District 91	Kyle Hall	early	9860
North Carolina;General Assembly House of Representatives District 91	Kyle Hall	election-day	10970
North Carolina;General Assembly House of Representatives District 91	Kyle Hall	provisional	74
North Carolina;General Assembly House of Representatives District 91	Kyle Hall	total	21232
North Carolina;General Assembly House of Representatives District 91	Michael Booth	absentee-mail	139
North Carolina;General Assembly House of Representatives District 91	Michael Booth	early	3693
North Carolina;General Assembly House of Representatives District 91	Michael Booth	election-day	3279
North Carolina;General Assembly House of Representatives District 91	Michael Booth	provisional	23
North Carolina;General Assembly House of Representatives District 91	Michael Booth	total	7134
North Carolina;General Assembly House of Representatives District 91	Steve Brenneis	absentee-mail	18
North Carolina;General Assembly House of Representatives District 91	Steve Brenneis	early	245
North Carolina;General Assembly House of Representatives District 91	Steve Brenneis	election-day	356
North Carolina;General Assembly House of Representatives District 91	Steve Brenneis	provisional	4
North Carolina;General Assembly House of Representatives District 91	Steve Brenneis	total	623
North Carolina;General Assembly House of Representatives District 92	Chaz Beasley	absentee-mail	545
North Carolina;General Assembly House of Representatives District 92	Chaz Beasley	early	11343
North Carolina;General Assembly House of Representatives District 92	Chaz Beasley	election-day	8114
North Carolina;General Assembly House of Representatives District 92	Chaz Beasley	provisional	41
North Carolina;General Assembly House of Representatives District 92	Chaz Beasley	total	20043
North Carolina;General Assembly House of Representatives District 92	Debbie Ware	absentee-mail	304
North Carolina;General Assembly House of Representatives District 92	Debbie Ware	early	3909
North Carolina;General Assembly House of Representatives District 92	Debbie Ware	election-day	4341
North Carolina;General Assembly House of Representatives District 92	Debbie Ware	provisional	26
North Carolina;General Assembly House of Representatives District 92	Debbie Ware	total	8580
North Carolina;General Assembly House of Representatives District 93	Jonathan C. Jordan	absentee-mail	404
North Carolina;General Assembly House of Representatives District 93	Jonathan C. Jordan	early	8444
North Carolina;General Assembly House of Representatives District 93	Jonathan C. Jordan	election-day	8261
North Carolina;General Assembly House of Representatives District 93	Jonathan C. Jordan	provisional	87
North Carolina;General Assembly House of Representatives District 93	Jonathan C. Jordan	total	17196
North Carolina;General Assembly House of Representatives District 93	Ray Russell	absentee-mail	565
North Carolina;General Assembly House of Representatives District 93	Ray Russell	early	12097
North Carolina;General Assembly House of Representatives District 93	Ray Russell	election-day	5935
North Carolina;General Assembly House of Representatives District 93	Ray Russell	provisional	190
North Carolina;General Assembly House of Representatives District 93	Ray Russell	total	18787
North Carolina;General Assembly House of Representatives District 94	Dianne Little	absentee-mail	208
North Carolina;General Assembly House of Representatives District 94	Dianne Little	early	4385
North Carolina;General Assembly House of Representatives District 94	Dianne Little	election-day	3382
North Carolina;General Assembly House of Representatives District 94	Dianne Little	provisional	23
North Carolina;General Assembly House of Representatives District 94	Dianne Little	total	7998
North Carolina;General Assembly House of Representatives District 94	Jeffrey Elmore	absentee-mail	312
North Carolina;General Assembly House of Representatives District 94	Jeffrey Elmore	early	9777
North Carolina;General Assembly House of Representatives District 94	Jeffrey Elmore	election-day	11139
North Carolina;General Assembly House of Representatives District 94	Jeffrey Elmore	provisional	49
North Carolina;General Assembly House of Representatives District 94	Jeffrey Elmore	total	21277
North Carolina;General Assembly House of Representatives District 95	Carla Fassbender	absentee-mail	759
North Carolina;General Assembly House of Representatives District 95	Carla Fassbender	early	6980
North Carolina;General Assembly House of Representatives District 95	Carla Fassbender	election-day	4912
North Carolina;General Assembly House of Representatives District 95	Carla Fassbender	provisional	19
North Carolina;General Assembly House of Representatives District 95	Carla Fassbender	total	12670
North Carolina;General Assembly House of Representatives District 95	John A. Fraley	absentee-mail	771
North Carolina;General Assembly House of Representatives District 95	John A. Fraley	early	12125
North Carolina;General Assembly House of Representatives District 95	John A. Fraley	election-day	9654
North Carolina;General Assembly House of Representatives District 95	John A. Fraley	provisional	43
North Carolina;General Assembly House of Representatives District 95	John A. Fraley	total	22593
North Carolina;General Assembly House of Representatives District 96	Jay Adams	absentee-mail	184
North Carolina;General Assembly House of Representatives District 96	Jay Adams	early	9092
North Carolina;General Assembly House of Representatives District 96	Jay Adams	election-day	6988
North Carolina;General Assembly House of Representatives District 96	Jay Adams	provisional	21
North Carolina;General Assembly House of Representatives District 96	Jay Adams	total	16285
North Carolina;General Assembly House of Representatives District 96	Kim Bost	absentee-mail	246
North Carolina;General Assembly House of Representatives District 96	Kim Bost	early	6389
North Carolina;General Assembly House of Representatives District 96	Kim Bost	election-day	3874
North Carolina;General Assembly House of Representatives District 96	Kim Bost	provisional	18
North Carolina;General Assembly House of Representatives District 96	Kim Bost	total	10527
North Carolina;General Assembly House of Representatives District 97	Jason R. Saine	absentee-mail	302
North Carolina;General Assembly House of Representatives District 97	Jason R. Saine	early	10566
North Carolina;General Assembly House of Representatives District 97	Jason R. Saine	election-day	11178
North Carolina;General Assembly House of Representatives District 97	Jason R. Saine	provisional	76
North Carolina;General Assembly House of Representatives District 97	Jason R. Saine	total	22122
North Carolina;General Assembly House of Representatives District 97	Natalie Robertson	absentee-mail	279
North Carolina;General Assembly House of Representatives District 97	Natalie Robertson	early	5200
North Carolina;General Assembly House of Representatives District 97	Natalie Robertson	election-day	3756
North Carolina;General Assembly House of Representatives District 97	Natalie Robertson	provisional	17
North Carolina;General Assembly House of Representatives District 97	Natalie Robertson	total	9252
North Carolina;General Assembly House of Representatives District 98	Christy Clark	absentee-mail	758
North Carolina;General Assembly House of Representatives District 98	Christy Clark	early	12269
North Carolina;General Assembly House of Representatives District 98	Christy Clark	election-day	6949
North Carolina;General Assembly House of Representatives District 98	Christy Clark	provisional	57
North Carolina;General Assembly House of Representatives District 98	Christy Clark	total	20033
North Carolina;General Assembly House of Representatives District 98	John R. Bradford III	absentee-mail	494
North Carolina;General Assembly House of Representatives District 98	John R. Bradford III	early	10682
North Carolina;General Assembly House of Representatives District 98	John R. Bradford III	election-day	8395
North Carolina;General Assembly House of Representatives District 98	John R. Bradford III	provisional	47
North Carolina;General Assembly House of Representatives District 98	John R. Bradford III	total	19618
North Carolina;General Assembly House of Representatives District 99	Joshua Niday	absentee-mail	175
North Carolina;General Assembly House of Representatives District 99	Joshua Niday	early	2124
North Carolina;General Assembly House of Representatives District 99	Joshua Niday	election-day	2388
North Carolina;General Assembly House of Representatives District 99	Joshua Niday	provisional	9
North Carolina;General Assembly House of Representatives District 99	Joshua Niday	total	4696
North Carolina;General Assembly House of Representatives District 99	Nasif Majeed	absentee-mail	438
North Carolina;General Assembly House of Representatives District 99	Nasif Majeed	early	12202
North Carolina;General Assembly House of Representatives District 99	Nasif Majeed	election-day	9235
North Carolina;General Assembly House of Representatives District 99	Nasif Majeed	provisional	40
North Carolina;General Assembly House of Representatives District 99	Nasif Majeed	total	21915
North Carolina;General Assembly Senate District 1	Bob Steinburg	absentee-mail	602
North Carolina;General Assembly Senate District 1	Bob Steinburg	early	17216
North Carolina;General Assembly Senate District 1	Bob Steinburg	election-day	21817
North Carolina;General Assembly Senate District 1	Bob Steinburg	provisional	180
North Carolina;General Assembly Senate District 1	Bob Steinburg	total	39815
North Carolina;General Assembly Senate District 1	D. Cole Phelps	absentee-mail	677
North Carolina;General Assembly Senate District 1	D. Cole Phelps	early	18135
North Carolina;General Assembly Senate District 1	D. Cole Phelps	election-day	15999
North Carolina;General Assembly Senate District 1	D. Cole Phelps	provisional	206
North Carolina;General Assembly Senate District 1	D. Cole Phelps	total	35017
North Carolina;General Assembly Senate District 10	Brent Jackson	absentee-mail	297
North Carolina;General Assembly Senate District 10	Brent Jackson	early	12103
North Carolina;General Assembly Senate District 10	Brent Jackson	election-day	20896
North Carolina;General Assembly Senate District 10	Brent Jackson	provisional	64
North Carolina;General Assembly Senate District 10	Brent Jackson	total	33360
North Carolina;General Assembly Senate District 10	Vernon R. Moore	absentee-mail	321
North Carolina;General Assembly Senate District 10	Vernon R. Moore	early	9773
North Carolina;General Assembly Senate District 10	Vernon R. Moore	election-day	9896
North Carolina;General Assembly Senate District 10	Vernon R. Moore	provisional	60
North Carolina;General Assembly Senate District 10	Vernon R. Moore	total	20050
North Carolina;General Assembly Senate District 11	Albert R. Pacer	absentee-mail	979
North Carolina;General Assembly Senate District 11	Albert R. Pacer	early	20979
North Carolina;General Assembly Senate District 11	Albert R. Pacer	election-day	13021
North Carolina;General Assembly Senate District 11	Albert R. Pacer	provisional	271
North Carolina;General Assembly Senate District 11	Albert R. Pacer	total	35250
North Carolina;General Assembly Senate District 11	Rick Horner	absentee-mail	720
North Carolina;General Assembly Senate District 11	Rick Horner	early	21824
North Carolina;General Assembly Senate District 11	Rick Horner	election-day	22947
North Carolina;General Assembly Senate District 11	Rick Horner	provisional	252
North Carolina;General Assembly Senate District 11	Rick Horner	total	45743
North Carolina;General Assembly Senate District 12	Jean Sivoli	absentee-mail	736
North Carolina;General Assembly Senate District 12	Jean Sivoli	early	13975
North Carolina;General Assembly Senate District 12	Jean Sivoli	election-day	8401
North Carolina;General Assembly Senate District 12	Jean Sivoli	provisional	178
North Carolina;General Assembly Senate District 12	Jean Sivoli	total	23290
North Carolina;General Assembly Senate District 12	Jim Burgin	absentee-mail	845
North Carolina;General Assembly Senate District 12	Jim Burgin	early	18255
North Carolina;General Assembly Senate District 12	Jim Burgin	election-day	15626
North Carolina;General Assembly Senate District 12	Jim Burgin	provisional	205
North Carolina;General Assembly Senate District 12	Jim Burgin	total	34931
North Carolina;General Assembly Senate District 13	Danny Earl Britt, Jr.	absentee-mail	481
North Carolina;General Assembly Senate District 13	Danny Earl Britt, Jr.	early	12726
North Carolina;General Assembly Senate District 13	Danny Earl Britt, Jr.	election-day	17649
North Carolina;General Assembly Senate District 13	Danny Earl Britt, Jr.	provisional	242
North Carolina;General Assembly Senate District 13	Danny Earl Britt, Jr.	total	31098
North Carolina;General Assembly Senate District 13	John Campbell	absentee-mail	501
North Carolina;General Assembly Senate District 13	John Campbell	early	8816
North Carolina;General Assembly Senate District 13	John Campbell	election-day	9019
North Carolina;General Assembly Senate District 13	John Campbell	provisional	308
North Carolina;General Assembly Senate District 13	John Campbell	total	18644
North Carolina;General Assembly Senate District 14	Dan Blue	absentee-mail	1359
North Carolina;General Assembly Senate District 14	Dan Blue	early	28722
North Carolina;General Assembly Senate District 14	Dan Blue	election-day	24374
North Carolina;General Assembly Senate District 14	Dan Blue	provisional	580
North Carolina;General Assembly Senate District 14	Dan Blue	total	55035
North Carolina;General Assembly Senate District 14	Richard Haygood	absentee-mail	67
North Carolina;General Assembly Senate District 14	Richard Haygood	early	699
North Carolina;General Assembly Senate District 14	Richard Haygood	election-day	1345
North Carolina;General Assembly Senate District 14	Richard Haygood	provisional	27
North Carolina;General Assembly Senate District 14	Richard Haygood	total	2138
North Carolina;General Assembly Senate District 14	Sandy Andrews	absentee-mail	496
North Carolina;General Assembly Senate District 14	Sandy Andrews	early	7895
North Carolina;General Assembly Senate District 14	Sandy Andrews	election-day	11437
North Carolina;General Assembly Senate District 14	Sandy Andrews	provisional	123
North Carolina;General Assembly Senate District 14	Sandy Andrews	total	19951
North Carolina;General Assembly Senate District 15	Alan David Michael	absentee-mail	566
North Carolina;General Assembly Senate District 15	Alan David Michael	early	6807
North Carolina;General Assembly Senate District 15	Alan David Michael	election-day	11827
North Carolina;General Assembly Senate District 15	Alan David Michael	provisional	165
North Carolina;General Assembly Senate District 15	Alan David Michael	total	19365
North Carolina;General Assembly Senate District 15	Brian Lewis	absentee-mail	61
North Carolina;General Assembly Senate District 15	Brian Lewis	early	1051
North Carolina;General Assembly Senate District 15	Brian Lewis	election-day	1846
North Carolina;General Assembly Senate District 15	Brian Lewis	provisional	47
North Carolina;General Assembly Senate District 15	Brian Lewis	total	3005
North Carolina;General Assembly Senate District 15	Jay J. Chaudhuri	absentee-mail	1730
North Carolina;General Assembly Senate District 15	Jay J. Chaudhuri	early	31678
North Carolina;General Assembly Senate District 15	Jay J. Chaudhuri	election-day	26885
North Carolina;General Assembly Senate District 15	Jay J. Chaudhuri	provisional	512
North Carolina;General Assembly Senate District 15	Jay J. Chaudhuri	total	60805
North Carolina;General Assembly Senate District 16	Brian Irving	absentee-mail	139
North Carolina;General Assembly Senate District 16	Brian Irving	early	1034
North Carolina;General Assembly Senate District 16	Brian Irving	election-day	2164
North Carolina;General Assembly Senate District 16	Brian Irving	provisional	45
North Carolina;General Assembly Senate District 16	Brian Irving	total	3382
North Carolina;General Assembly Senate District 16	Paul Smith	absentee-mail	1019
North Carolina;General Assembly Senate District 16	Paul Smith	early	11383
North Carolina;General Assembly Senate District 16	Paul Smith	election-day	17704
