Name	ElectionDistrict
US House MA District 3	Massachusetts;US House MA District 3
US House MA District 4	Massachusetts;US House MA District 4
US House MA District 5	Massachusetts;US House MA District 5
US House MA District 6	Massachusetts;US House MA District 6
US House MA District 7	Massachusetts;US House MA District 7
US House MA District 8	Massachusetts;US House MA District 8
US House MA District 9	Massachusetts;US House MA District 9
US President (MA)	Massachusetts
MA Governor	Massachusetts
US Senate MA	Massachusetts
MA Attorney General	Massachusetts
MA Lieutenant Governor	Massachusetts
MA Treasurer	Massachusetts
MA Secretary of State	Massachusetts
MA Governor's Council District 1	Massachusetts;MA Governor's Council District 1
MA Governor's Council District 2	Massachusetts;MA Governor's Council District 2
MA Governor's Council District 3	Massachusetts;MA Governor's Council District 3
MA Governor's Council District 4	Massachusetts;MA Governor's Council District 4
MA Governor's Council District 5	Massachusetts;MA Governor's Council District 5
MA Governor's Council District 6	Massachusetts;MA Governor's Council District 6
MA Governor's Council District 7	Massachusetts;MA Governor's Council District 7
MA Governor's Council District 8	Massachusetts;MA Governor's Council District 8
MA House District 1 Barnstable	Massachusetts;MA House District 1 Barnstable
MA House District 1 Berkshire	Massachusetts;MA House District 1 Berkshire
MA House District 1 Bristol	Massachusetts;MA House District 1 Bristol
MA House District 1 Essex	Massachusetts;MA House District 1 Essex
MA House District 1 Franklin	Massachusetts;MA House District 1 Franklin
MA House District 1 Hampden	Massachusetts;MA House District 1 Hampden
MA House District 1 Hampshire	Massachusetts;MA House District 1 Hampshire
MA House District 1 Middlesex	Massachusetts;MA House District 1 Middlesex
MA House District 1 Norfolk	Massachusetts;MA House District 1 Norfolk
MA House District 1 Plymouth	Massachusetts;MA House District 1 Plymouth
MA House District 1 Suffolk	Massachusetts;MA House District 1 Suffolk
MA House District 1 Worcester	Massachusetts;MA House District 1 Worcester
MA House District 10 Bristol	Massachusetts;MA House District 10 Bristol
MA House District 10 Essex	Massachusetts;MA House District 10 Essex
MA House District 10 Hampden	Massachusetts;MA House District 10 Hampden
MA House District 10 Middlesex	Massachusetts;MA House District 10 Middlesex
MA House District 10 Norfolk	Massachusetts;MA House District 10 Norfolk
MA House District 10 Plymouth	Massachusetts;MA House District 10 Plymouth
MA House District 10 Suffolk	Massachusetts;MA House District 10 Suffolk
MA House District 10 Worcester	Massachusetts;MA House District 10 Worcester
MA House District 11 Bristol	Massachusetts;MA House District 11 Bristol
MA House District 11 Essex	Massachusetts;MA House District 11 Essex
MA House District 11 Hampden	Massachusetts;MA House District 11 Hampden
MA House District 11 Middlesex	Massachusetts;MA House District 11 Middlesex
MA House District 11 Norfolk	Massachusetts;MA House District 11 Norfolk
MA House District 11 Plymouth	Massachusetts;MA House District 11 Plymouth
MA House District 11 Suffolk	Massachusetts;MA House District 11 Suffolk
MA House District 11 Worcester	Massachusetts;MA House District 11 Worcester
MA House District 12 Bristol	Massachusetts;MA House District 12 Bristol
MA House District 12 Essex	Massachusetts;MA House District 12 Essex
MA House District 12 Hampden	Massachusetts;MA House District 12 Hampden
MA House District 12 Middlesex	Massachusetts;MA House District 12 Middlesex
MA House District 12 Norfolk	Massachusetts;MA House District 12 Norfolk
MA House District 12 Plymouth	Massachusetts;MA House District 12 Plymouth
MA House District 12 Suffolk	Massachusetts;MA House District 12 Suffolk
MA House District 12 Worcester	Massachusetts;MA House District 12 Worcester
MA House District 13 Bristol	Massachusetts;MA House District 13 Bristol
MA House District 13 Essex	Massachusetts;MA House District 13 Essex
MA House District 13 Middlesex	Massachusetts;MA House District 13 Middlesex
MA House District 13 Norfolk	Massachusetts;MA House District 13 Norfolk
MA House District 13 Suffolk	Massachusetts;MA House District 13 Suffolk
MA House District 13 Worcester	Massachusetts;MA House District 13 Worcester
MA House District 14 Bristol	Massachusetts;MA House District 14 Bristol
MA House District 14 Essex	Massachusetts;MA House District 14 Essex
MA House District 14 Middlesex	Massachusetts;MA House District 14 Middlesex
MA House District 14 Norfolk	Massachusetts;MA House District 14 Norfolk
MA House District 14 Suffolk	Massachusetts;MA House District 14 Suffolk
MA House District 14 Worcester	Massachusetts;MA House District 14 Worcester
MA House District 15 Essex	Massachusetts;MA House District 15 Essex
MA House District 15 Middlesex	Massachusetts;MA House District 15 Middlesex
MA House District 15 Norfolk	Massachusetts;MA House District 15 Norfolk
MA House District 15 Suffolk	Massachusetts;MA House District 15 Suffolk
MA House District 15 Worcester	Massachusetts;MA House District 15 Worcester
MA House District 16 Essex	Massachusetts;MA House District 16 Essex
MA House District 16 Middlesex	Massachusetts;MA House District 16 Middlesex
MA House District 16 Suffolk	Massachusetts;MA House District 16 Suffolk
MA House District 16 Worcester	Massachusetts;MA House District 16 Worcester
MA House District 17 Essex	Massachusetts;MA House District 17 Essex
MA House District 17 Middlesex	Massachusetts;MA House District 17 Middlesex
MA House District 17 Suffolk	Massachusetts;MA House District 17 Suffolk
MA House District 17 Worcester	Massachusetts;MA House District 17 Worcester
MA House District 18 Essex	Massachusetts;MA House District 18 Essex
MA House District 18 Middlesex	Massachusetts;MA House District 18 Middlesex
MA House District 18 Suffolk	Massachusetts;MA House District 18 Suffolk
MA House District 18 Worcester	Massachusetts;MA House District 18 Worcester
MA House District 19 Middlesex	Massachusetts;MA House District 19 Middlesex
MA House District 19 Suffolk	Massachusetts;MA House District 19 Suffolk
MA House District 2 Barnstable	Massachusetts;MA House District 2 Barnstable
MA House District 2 Berkshire	Massachusetts;MA House District 2 Berkshire
MA House District 2 Bristol	Massachusetts;MA House District 2 Bristol
MA House District 2 Essex	Massachusetts;MA House District 2 Essex
MA House District 2 Franklin	Massachusetts;MA House District 2 Franklin
MA House District 2 Hampden	Massachusetts;MA House District 2 Hampden
MA House District 2 Hampshire	Massachusetts;MA House District 2 Hampshire
MA House District 2 Middlesex	Massachusetts;MA House District 2 Middlesex
MA House District 2 Norfolk	Massachusetts;MA House District 2 Norfolk
MA House District 2 Plymouth	Massachusetts;MA House District 2 Plymouth
MA House District 2 Suffolk	Massachusetts;MA House District 2 Suffolk
MA House District 2 Worcester	Massachusetts;MA House District 2 Worcester
MA House District 20 Middlesex	Massachusetts;MA House District 20 Middlesex
MA House District 21 Middlesex	Massachusetts;MA House District 21 Middlesex
MA House District 22 Middlesex	Massachusetts;MA House District 22 Middlesex
MA House District 23 Middlesex	Massachusetts;MA House District 23 Middlesex
MA House District 24 Middlesex	Massachusetts;MA House District 24 Middlesex
MA House District 25 Middlesex	Massachusetts;MA House District 25 Middlesex
MA House District 26 Middlesex	Massachusetts;MA House District 26 Middlesex
MA House District 27 Middlesex	Massachusetts;MA House District 27 Middlesex
MA House District 28 Middlesex	Massachusetts;MA House District 28 Middlesex
MA House District 29 Middlesex	Massachusetts;MA House District 29 Middlesex
MA House District 3 Barnstable	Massachusetts;MA House District 3 Barnstable
MA House District 3 Berkshire	Massachusetts;MA House District 3 Berkshire
MA House District 3 Bristol	Massachusetts;MA House District 3 Bristol
MA House District 3 Essex	Massachusetts;MA House District 3 Essex
MA House District 3 Hampden	Massachusetts;MA House District 3 Hampden
