contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	election-day	4509
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	absentee-mail	184
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	early	2928
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	election-day	2916
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	provisional	22
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	absentee-mail	361
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	early	6913
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	election-day	4892
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	provisional	24
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	absentee-mail	1043
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	early	26061
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	election-day	18294
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	provisional	231
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	absentee-mail	62
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	early	724
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	election-day	1102
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	absentee-mail	198
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	early	3472
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	election-day	2313
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	provisional	16
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	absentee-mail	495
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	early	6689
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	election-day	5755
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	provisional	14
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	absentee-mail	177
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	early	2319
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	election-day	1559
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	provisional	17
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	absentee-mail	52
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	early	2653
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	election-day	2622
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	provisional	15
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	absentee-mail	2227
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	early	64661
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	election-day	31322
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	provisional	447
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	absentee-mail	61
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	early	6061
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	election-day	3594
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	provisional	16
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	absentee-mail	2343
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	early	42036
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	election-day	23509
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	provisional	239
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	absentee-mail	351
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	early	6580
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	election-day	3139
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	provisional	26
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	absentee-mail	491
