Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	North Carolina;General Assembly House of Representatives District 105	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 105
Office	North Carolina;General Assembly House of Representatives District 106	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 106
Office	North Carolina;General Assembly House of Representatives District 107	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 107
Office	North Carolina;General Assembly House of Representatives District 108	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 108
Office	North Carolina;General Assembly House of Representatives District 109	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 109
Office	North Carolina;General Assembly House of Representatives District 110	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 110
Office	North Carolina;General Assembly House of Representatives District 111	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 111
Office	North Carolina;General Assembly House of Representatives District 112	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 112
Office	North Carolina;General Assembly House of Representatives District 113	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 113
Office	North Carolina;General Assembly House of Representatives District 114	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 114
Office	North Carolina;General Assembly House of Representatives District 115	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 115
Office	North Carolina;General Assembly House of Representatives District 116	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 116
Office	North Carolina;General Assembly House of Representatives District 117	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 117
Office	North Carolina;General Assembly House of Representatives District 118	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 118
Office	North Carolina;General Assembly House of Representatives District 119	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 119
Office	North Carolina;General Assembly House of Representatives District 120	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 120
Office	North Carolina;General Assembly Senate District 1	nc_general	NC STATE SENATE DISTRICT 01
Office	North Carolina;General Assembly Senate District 2	nc_general	NC STATE SENATE DISTRICT 02
Office	North Carolina;General Assembly Senate District 3	nc_general	NC STATE SENATE DISTRICT 03
Office	North Carolina;General Assembly Senate District 4	nc_general	NC STATE SENATE DISTRICT 04
Office	North Carolina;General Assembly Senate District 5	nc_general	NC STATE SENATE DISTRICT 05
Office	North Carolina;General Assembly Senate District 6	nc_general	NC STATE SENATE DISTRICT 06
Office	North Carolina;General Assembly Senate District 7	nc_general	NC STATE SENATE DISTRICT 07
Office	North Carolina;General Assembly Senate District 8	nc_general	NC STATE SENATE DISTRICT 08
Office	North Carolina;General Assembly Senate District 9	nc_general	NC STATE SENATE DISTRICT 09
Office	North Carolina;General Assembly Senate District 10	nc_general	NC STATE SENATE DISTRICT 10
Office	North Carolina;General Assembly Senate District 11	nc_general	NC STATE SENATE DISTRICT 11
Office	North Carolina;General Assembly Senate District 12	nc_general	NC STATE SENATE DISTRICT 12
Office	North Carolina;General Assembly Senate District 13	nc_general	NC STATE SENATE DISTRICT 13
