Table	Name	ExternalIdentifierValue
Office	Florida;General Assembly Senate District 22	State Senator Juris1num 22 Juris2num 
Office	Florida;General Assembly Senate District 23	State Senator Juris1num 23 Juris2num 
Office	Florida;General Assembly Senate District 24	State Senator Juris1num 24 Juris2num 
Office	Florida;General Assembly Senate District 25	State Senator Juris1num 25 Juris2num 
Office	Florida;General Assembly Senate District 26	State Senator Juris1num 26 Juris2num 
Office	Florida;General Assembly Senate District 27	State Senator Juris1num 27 Juris2num 
Office	Florida;General Assembly Senate District 28	State Senator Juris1num 28 Juris2num 
Office	Florida;General Assembly Senate District 29	State Senator Juris1num 29 Juris2num 
Office	Florida;General Assembly Senate District 30	State Senator Juris1num 30 Juris2num 
Office	Florida;General Assembly Senate District 31	State Senator Juris1num 31 Juris2num 
Office	Florida;General Assembly Senate District 32	State Senator Juris1num 32 Juris2num 
Office	Florida;General Assembly Senate District 33	State Senator Juris1num 33 Juris2num 
Office	Florida;General Assembly Senate District 34	State Senator Juris1num 34 Juris2num 
Office	Florida;General Assembly Senate District 35	State Senator Juris1num 35 Juris2num 
Office	Florida;General Assembly Senate District 36	State Senator Juris1num 36 Juris2num 
Office	Florida;General Assembly Senate District 37	State Senator Juris1num 37 Juris2num 
Office	Florida;General Assembly Senate District 38	State Senator Juris1num 38 Juris2num 
Office	Florida;General Assembly Senate District 39	State Senator Juris1num 39 Juris2num 
Office	Florida;General Assembly Senate District 40	State Senator Juris1num 40 Juris2num 
Office	Florida;US Congress House of Representatives District 1	United States Representative Juris1num 01 Juris2num 
Office	Florida;US Congress House of Representatives District 2	United States Representative Juris1num 02 Juris2num 
Office	Florida;US Congress House of Representatives District 3	United States Representative Juris1num 03 Juris2num 
Office	Florida;US Congress House of Representatives District 4	United States Representative Juris1num 04 Juris2num 
Office	Florida;US Congress House of Representatives District 5	United States Representative Juris1num 05 Juris2num 
Office	Florida;US Congress House of Representatives District 6	United States Representative Juris1num 06 Juris2num 
Office	Florida;US Congress House of Representatives District 7	United States Representative Juris1num 07 Juris2num 
Office	Florida;US Congress House of Representatives District 8	United States Representative Juris1num 08 Juris2num 
Office	Florida;US Congress House of Representatives District 9	United States Representative Juris1num 09 Juris2num 
Office	Florida;US Congress House of Representatives District 10	United States Representative Juris1num 10 Juris2num 
Office	Florida;US Congress House of Representatives District 11	United States Representative Juris1num 11 Juris2num 
Office	Florida;US Congress House of Representatives District 12	United States Representative Juris1num 12 Juris2num 
Office	Florida;US Congress House of Representatives District 13	United States Representative Juris1num 13 Juris2num 
Office	Florida;US Congress House of Representatives District 14	United States Representative Juris1num 14 Juris2num 
Office	Florida;US Congress House of Representatives District 15	United States Representative Juris1num 15 Juris2num 
Office	Florida;US Congress House of Representatives District 16	United States Representative Juris1num 16 Juris2num 
Office	Florida;US Congress House of Representatives District 17	United States Representative Juris1num 17 Juris2num 
Office	Florida;US Congress House of Representatives District 18	United States Representative Juris1num 18 Juris2num 
Office	Florida;US Congress House of Representatives District 19	United States Representative Juris1num 19 Juris2num 
Office	Florida;US Congress House of Representatives District 20	United States Representative Juris1num 20 Juris2num 
Office	Florida;US Congress House of Representatives District 21	United States Representative Juris1num 21 Juris2num 
Office	Florida;US Congress House of Representatives District 22	United States Representative Juris1num 22 Juris2num 
Office	Florida;US Congress House of Representatives District 23	United States Representative Juris1num 23 Juris2num 
Office	Florida;US Congress House of Representatives District 24	United States Representative Juris1num 24 Juris2num 
Office	Florida;US Congress House of Representatives District 25	United States Representative Juris1num 25 Juris2num 
Office	Florida;US Congress House of Representatives District 26	United States Representative Juris1num 26 Juris2num 
Office	Florida;US Congress House of Representatives District 27	United States Representative Juris1num 27 Juris2num 
Office	Florida;US Congress Senate	United States Senator Juris1num  Juris2num 
Party	Florida Republican Party	Republican
Party	Florida Democratic Party	Democrat
Party	Florida (No Party Affiliation)	No Party Affiliation
Party	Florida Write-In	Write-In
Party	Reform Party of Florida	Reform Party of Florida
Party	Libertarian Party of Florida	Libertarian Party of Florida
Election	General Election 2018-11-06	11/6/18
CandidateContest	Florida;General Assembly House of Representatives District 1	State Representative Juris1num 001 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 2	State Representative Juris1num 002 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 3	State Representative Juris1num 003 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 4	State Representative Juris1num 004 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 5	State Representative Juris1num 005 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 6	State Representative Juris1num 006 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 7	State Representative Juris1num 007 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 8	State Representative Juris1num 008 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 9	State Representative Juris1num 009 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 10	State Representative Juris1num 010 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 11	State Representative Juris1num 011 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 12	State Representative Juris1num 012 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 13	State Representative Juris1num 013 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 14	State Representative Juris1num 014 Juris2num 
