Name	ElectionDistrict
NC House District 118	North Carolina;NC House District 118
NC House District 119	North Carolina;NC House District 119
NC House District 120	North Carolina;NC House District 120
NC Senate District 1	North Carolina;NC Senate District 1
NC Senate District 2	North Carolina;NC Senate District 2
NC Senate District 3	North Carolina;NC Senate District 3
NC Senate District 4	North Carolina;NC Senate District 4
NC Senate District 5	North Carolina;NC Senate District 5
NC Senate District 6	North Carolina;NC Senate District 6
NC Senate District 7	North Carolina;NC Senate District 7
NC Senate District 8	North Carolina;NC Senate District 8
NC Senate District 9	North Carolina;NC Senate District 9
NC Senate District 10	North Carolina;NC Senate District 10
NC Senate District 11	North Carolina;NC Senate District 11
NC Senate District 12	North Carolina;NC Senate District 12
NC Senate District 13	North Carolina;NC Senate District 13
NC Senate District 14	North Carolina;NC Senate District 14
NC Senate District 15	North Carolina;NC Senate District 15
NC Senate District 16	North Carolina;NC Senate District 16
NC Senate District 17	North Carolina;NC Senate District 17
NC Senate District 18	North Carolina;NC Senate District 18
NC Senate District 19	North Carolina;NC Senate District 19
NC Senate District 20	North Carolina;NC Senate District 20
NC Senate District 21	North Carolina;NC Senate District 21
NC Senate District 22	North Carolina;NC Senate District 22
NC Senate District 23	North Carolina;NC Senate District 23
NC Senate District 24	North Carolina;NC Senate District 24
NC Senate District 25	North Carolina;NC Senate District 25
NC Senate District 26	North Carolina;NC Senate District 26
NC Senate District 27	North Carolina;NC Senate District 27
NC Senate District 28	North Carolina;NC Senate District 28
NC Senate District 29	North Carolina;NC Senate District 29
NC Senate District 30	North Carolina;NC Senate District 30
NC Senate District 31	North Carolina;NC Senate District 31
NC Senate District 32	North Carolina;NC Senate District 32
NC Senate District 33	North Carolina;NC Senate District 33
NC Senate District 34	North Carolina;NC Senate District 34
NC Senate District 35	North Carolina;NC Senate District 35
NC Senate District 36	North Carolina;NC Senate District 36
NC Senate District 37	North Carolina;NC Senate District 37
NC Senate District 38	North Carolina;NC Senate District 38
NC Senate District 39	North Carolina;NC Senate District 39
NC Senate District 40	North Carolina;NC Senate District 40
NC Senate District 41	North Carolina;NC Senate District 41
NC Senate District 42	North Carolina;NC Senate District 42
NC Senate District 43	North Carolina;NC Senate District 43
NC Senate District 44	North Carolina;NC Senate District 44
NC Senate District 45	North Carolina;NC Senate District 45
NC Senate District 46	North Carolina;NC Senate District 46
NC Senate District 47	North Carolina;NC Senate District 47
NC Senate District 48	North Carolina;NC Senate District 48
NC Senate District 49	North Carolina;NC Senate District 49
NC Senate District 50	North Carolina;NC Senate District 50
US House NC District 1	North Carolina;US House NC District 1
US House NC District 2	North Carolina;US House NC District 2
US House NC District 3	North Carolina;US House NC District 3
US House NC District 4	North Carolina;US House NC District 4
US House NC District 5	North Carolina;US House NC District 5
US House NC District 6	North Carolina;US House NC District 6
US House NC District 7	North Carolina;US House NC District 7
US House NC District 8	North Carolina;US House NC District 8
US House NC District 9	North Carolina;US House NC District 9
US House NC District 10	North Carolina;US House NC District 10
US House NC District 11	North Carolina;US House NC District 11
US House NC District 12	North Carolina;US House NC District 12
US House NC District 13	North Carolina;US House NC District 13
US President (NC)	North Carolina
NC Governor	North Carolina
US Senate NC	North Carolina
NC Attorney General	North Carolina
NC Lieutenant Governor	North Carolina
NC Treasurer	North Carolina
NC Secretary of State	North Carolina
NC Superintendent of Public Instruction	North Carolina
NC Commissioner of Insurance	North Carolina
NC Commissioner of Agriculture	North Carolina
NC Commissioner of Labor	North Carolina
NC Auditor	North Carolina
