	Name	ReportingUnitType
305	North Carolina;Alamance County;04	precinct
306	North Carolina;Alamance County;01	precinct
307	North Carolina;Alamance County;11	precinct
308	North Carolina;Alamance County;03N2	precinct
309	North Carolina;Alamance County;064	precinct
310	North Carolina;Alamance County;12S	precinct
311	North Carolina;Alamance County;03N	precinct
312	North Carolina;Alamance County;03S	precinct
313	North Carolina;Alamance County;124	precinct
314	North Carolina;Alamance County;129	precinct
315	North Carolina;Alamance County;07	precinct
316	North Carolina;Alamance County;12N	precinct
317	North Carolina;Alamance County;126	precinct
318	North Carolina;Alamance County;06N	precinct
319	North Carolina;Alamance County;06S	precinct
320	North Carolina;Alamance County;12E	precinct
321	North Carolina;Alexander County;B1	precinct
322	North Carolina;Alexander County;B2	precinct
323	North Carolina;Alexander County;W	precinct
324	North Carolina;Alexander County;LRSL	precinct
325	North Carolina;Alexander County;E	precinct
326	North Carolina;Alexander County;M	precinct
327	North Carolina;Alexander County;G1G2	precinct
328	North Carolina;Alexander County;S1S2	precinct
329	North Carolina;Alexander County;T1T4T5	precinct
330	North Carolina;Alexander County;T2T3	precinct
331	North Carolina;Avery County;19	precinct
332	North Carolina;Avery County;14	precinct
333	North Carolina;Avery County;16	precinct
334	North Carolina;Avery County;18	precinct
335	North Carolina;Avery County;13	precinct
336	North Carolina;Avery County;02	precinct
337	North Carolina;Avery County;ABSENTEE	absentee
338	North Carolina;Avery County;15	precinct
339	North Carolina;Avery County;PROVISIONAL	provisional
340	North Carolina;Avery County;01	precinct
341	North Carolina;Avery County;07	precinct
342	North Carolina;Avery County;04	precinct
343	North Carolina;Avery County;ONE STOP	vote-center
344	North Carolina;Avery County;17	precinct
345	North Carolina;Avery County;12	precinct
346	North Carolina;Avery County;03	precinct
347	North Carolina;Avery County;06	precinct
348	North Carolina;Avery County;10	precinct
349	North Carolina;Avery County;09	precinct
350	North Carolina;Avery County;08	precinct
351	North Carolina;Avery County;05	precinct
352	North Carolina;Avery County;11	precinct
353	North Carolina;Bertie County;MH	precinct
354	North Carolina;Bertie County;OS-POW	precinct
355	North Carolina;Bertie County;W2	precinct
356	North Carolina;Bertie County;M2	precinct
357	North Carolina;Bertie County;C2	precinct
358	North Carolina;Bertie County;WH	precinct
359	North Carolina;Bertie County;M1	precinct
360	North Carolina;Bertie County;SN	precinct
361	North Carolina;Bertie County;IW	precinct
362	North Carolina;Bertie County;OS-LOB	precinct
363	North Carolina;Bertie County;ABSENTEE	absentee
364	North Carolina;Bertie County;C1	precinct
365	North Carolina;Bertie County;PROVISIONAL	provisional
366	North Carolina;Bertie County;RX	precinct
367	North Carolina;Bertie County;W1	precinct
368	North Carolina;Bertie County;WD	precinct
369	North Carolina;Bladen County;P15	precinct
370	North Carolina;Bladen County;P30	precinct
371	North Carolina;Bladen County;P35	precinct
372	North Carolina;Bladen County;P60	precinct
373	North Carolina;Bladen County;P65	precinct
374	North Carolina;Bladen County;PROVISIONAL	provisional
375	North Carolina;Bladen County;TRANSFER	transfer
376	North Carolina;Bladen County;ONE STOP LIBRARY	vote-center
377	North Carolina;Bladen County;P502	precinct
378	North Carolina;Bladen County;P55	precinct
379	North Carolina;Bladen County;P75	precinct
380	North Carolina;Bladen County;P80	precinct
381	North Carolina;Bladen County;P10	precinct
382	North Carolina;Bladen County;ONE STOP DUBLIN	vote-center
383	North Carolina;Bladen County;P40	precinct
384	North Carolina;Bladen County;P45	precinct
385	North Carolina;Bladen County;P202	precinct
386	North Carolina;Bladen County;ONE STOP B-BORO	vote-center
387	North Carolina;Bladen County;P25	precinct
388	North Carolina;Bladen County;P501	precinct
389	North Carolina;Bladen County;MAIL ABSENTEE	absentee
390	North Carolina;Bladen County;ONE STOP EA	vote-center
391	North Carolina;Bladen County;P70	precinct
392	North Carolina;Bladen County;P201	precinct
393	North Carolina;Brunswick County;06	precinct
394	North Carolina;Brunswick County;09	precinct
395	North Carolina;Brunswick County;21	precinct
396	North Carolina;Brunswick County;CURBSIDE	curbside
