BallotName	Party
KYRA HARRIS BOLDEN	Democratic Party
LANA THEIS	Republican Party
LANCE HERMAN	No Party Affiliation
LARRY BETTS	Republican Party
LARRY C. INMAN	Republican Party
"LARRY JAMES HUTCHINSON, JR."	No Party Affiliation
LATANYA GARRETT	Democratic Party
LAURA COX	Republican Party
LAURA DODD	Democratic Party
LAURA WINN	Democratic Party
LAUREN TAYLOR	Democratic Party
LAURIE POHUTSKY	Democratic Party
LEE CHATFIELD	Republican Party
LENA EPSTEIN	Republican Party
LEON R. CLARK	Republican Party
LEONARD SCHWARTZ	Libertarian Party
LESLIE LOVE	Democratic Party
LINDA SAWYER	Republican Party
LISA LANE GIOIA	Libertarian Party
LISA PAPAS	Republican Party
LISA VALERIO-NOWC	Republican Party
LOGAN R. SMITH	Republican Party
LORA GREENE	Democratic Party
LORENCE WENKE	Libertarian Party
LORI M. STONE	Democratic Party
LOUIS PALUS	Republican Party
LUKE MEERMAN	Republican Party
LYNN AFENDOULIS	Republican Party
MALLORY MCMORROW	Democratic Party
MARC JOSEPH SOSNOWSKI	Republican Party
MARCELIS TURNER	Republican Party
MARCIA SQUIER	Green Party
MARGARET E. O'BRIEN	Republican Party
MARGE KATCHMARK SALLOWS	Natural Law Party
MARI MANOOGIAN	Democratic Party
MARK BIGNELL	Democratic Party
MARK CORCORAN	Republican Party
MARK E. HUIZENGA	Republican Party
MARK LUDWIG	Democratic Party
MARSHALL BULLOCK	Democratic Party
MARTIN CHURCH	Republican Party
MARTY KNOLLENBERG	Republican Party
MARY ANNE HERING	Republican Party
MARY BUZUMA	Libertarian Party
MARY TREDER LANG	Republican Party
MARY WHITEFORD	Republican Party
MATT HALL	Republican Party
MATT KOLESZAR	Democratic Party
MATT KUEHNEL	Libertarian Party
MATT LONGJOHN	Democratic Party
MATT MADDOCK	Republican Party
MATTHEW SHEPARD	Republican Party
MATTHEW W. MORGAN	Democratic Party
MAX RIEKSE	Libertarian Party
MD RABBI ALAM	No Party Affiliation
MEAGAN L. CARR	Democratic Party
MEGAN KATHLEEN CAVANAGH	No Party Affiliation
MELISSA FRUGE	Democratic Party
MELODY WAGNER	Republican Party
MICHAEL D. MCCREADY	Republican Party
MICHAEL FRAZIER	Republican Party
MICHAEL MACDONALD	Republican Party
MICHAEL WEBBER	Republican Party
MICHELE HOITENGA	Republican Party
MICHELLE BAILEY	Republican Party
MICHELLE LAVOY	Democratic Party
MIKE BISHOP	Republican Party
MIKE MILLER	Republican Party
MIKE MUELLER	Republican Party
MIKE SALIBA	Libertarian Party
MIKE SHIRKEY	Republican Party
MIKE TAILLARD	Democratic Party
MINDY DENNINGER	Democratic Party
MITCH SWOBODA	Republican Party
MONA M. SHAND	Democratic Party
NATE SHANNON	Democratic Party
NATHAN HEWER	Libertarian Party
NICOLE BREADON	Democratic Party
NILES NIEMUTH	No Party Affiliation
NORMAN M. PETERSON	Libertarian Party
PADMA KUPPA	Democratic Party
PAMELA HORNBERGER	Republican Party
PATRICK DUVENDECK	Republican Party
PATRICK O'NEAL BURNEY	No Party Affiliation
PATTY MALOWNEY	Libertarian Party
PAUL BROWN	Democratic Party
PAUL MANLEY	Democratic Party
PAUL MITCHELL	Republican Party
PAUL R. FRANCIS	Democratic Party
PAUL WOJNO	Democratic Party
PAULINE MONTIE	Republican Party
PAULINE WENDZEL	Republican Party
PETER J. LUCIDO	Republican Party
PETER MACGREGOR	Republican Party
PHIL GREEN	Republican Party
PHIL PHELPS	Democratic Party
PHILIP KOLODY	Republican Party
POPPY SIAS-HERNANDEZ	Democratic Party
RACHEL HOOD	Democratic Party
RASHIDA TLAIB	Democratic Party
RAYMOND A. HALL	No Party Affiliation
REBEKAH WARREN	Democratic Party
RENEE WATSON	Democratic Party
RICHARD ZEILE	Republican Party
RICK OUTMAN	Republican Party
RITA ROSS	No Party Affiliation
ROB DAVIDSON	Democratic Party
